valid_time	latitude	longitude	tcc
1451606400	32.42	72.17	0.68956286
1451606400	32.42	72.42	0.613864
1451606400	32.42	72.67	0.55223376
1451606400	32.17	72.17	0.5122176
1451606400	32.17	72.42	0.44633013
1451606400	32.17	72.67	0.44034106
1451606400	31.92	72.17	0.44242388
1451606400	31.92	72.42	0.3734389
1451606400	31.92	72.67	0.36818224
1451610000	32.42	72.17	0.40381938
1451610000	32.42	72.42	0.41146404
1451610000	32.42	72.67	0.46817333
1451610000	32.17	72.17	0.4277528
1451610000	32.17	72.42	0.40328532
1451610000	32.17	72.67	0.3242219
1451610000	31.92	72.17	0.5918153
1451610000	31.92	72.42	0.47680217
1451610000	31.92	72.67	0.3955949
1451613600	32.42	72.17	0.16899014
1451613600	32.42	72.42	0.26150417
1451613600	32.42	72.67	0.33956814
1451613600	32.17	72.17	0.27683926
1451613600	32.17	72.42	0.36402035
1451613600	32.17	72.67	0.40199947
1451613600	31.92	72.17	0.49285793
1451613600	31.92	72.42	0.53636074
1451613600	31.92	72.67	0.5734472
1451617200	32.42	72.17	0.07766819
1451617200	32.42	72.42	0.10662174
1451617200	32.42	72.67	0.16787815
1451617200	32.17	72.17	0.16059208
1451617200	32.17	72.42	0.17857456
1451617200	32.17	72.67	0.21116734
1451617200	31.92	72.17	0.36939335
1451617200	31.92	72.42	0.35729313
1451617200	31.92	72.67	0.3909998
1451620800	32.42	72.17	0.009156778
1451620800	32.42	72.42	0.042176798
1451620800	32.42	72.67	0.056184366
1451620800	32.17	72.17	0.10276945
1451620800	32.17	72.42	0.14152677
1451620800	32.17	72.67	0.23135526
1451620800	31.92	72.17	0.25074917
1451620800	31.92	72.42	0.43956143
1451620800	31.92	72.67	0.5355392
1451624400	32.42	72.17	6.074595E-6
1451624400	32.42	72.42	0.033293124
1451624400	32.42	72.67	0.05663907
1451624400	32.17	72.17	0.015882844
1451624400	32.17	72.42	0.06252896
1451624400	32.17	72.67	0.17988431
1451624400	31.92	72.17	0.036184665
1451624400	31.92	72.42	0.14971006
1451624400	31.92	72.67	0.26795805
1451628000	32.42	72.17	0.0
1451628000	32.42	72.42	0.0
1451628000	32.42	72.67	0.012014389
1451628000	32.17	72.17	0.0
1451628000	32.17	72.42	4.5776367E-5
1451628000	32.17	72.67	0.05769539
1451628000	31.92	72.17	2.0980835E-5
1451628000	31.92	72.42	0.047433853
1451628000	31.92	72.67	0.107847214
1451631600	32.42	72.17	0.0
1451631600	32.42	72.42	0.0
1451631600	32.42	72.67	0.0059332848
1451631600	32.17	72.17	0.0
1451631600	32.17	72.42	9.059906E-6
1451631600	32.17	72.67	0.0040555
1451631600	31.92	72.17	0.0
1451631600	31.92	72.42	0.0093045235
1451631600	31.92	72.67	0.0139184
1451635200	32.42	72.17	0.0
1451635200	32.42	72.42	0.0
1451635200	32.42	72.67	0.0029665828
1451635200	32.17	72.17	0.0
1451635200	32.17	72.42	0.0
1451635200	32.17	72.67	0.0
1451635200	31.92	72.17	0.0
1451635200	31.92	72.42	0.0
1451635200	31.92	72.67	2.7418137E-6
1451638800	32.42	72.17	0.0
1451638800	32.42	72.42	0.0
1451638800	32.42	72.67	0.0
1451638800	32.17	72.17	0.0
1451638800	32.17	72.42	0.0
1451638800	32.17	72.67	0.0
1451638800	31.92	72.17	0.0
1451638800	31.92	72.42	0.0
1451638800	31.92	72.67	0.0
1451642400	32.42	72.17	0.0
1451642400	32.42	72.42	0.0
1451642400	32.42	72.67	0.0
1451642400	32.17	72.17	0.0
1451642400	32.17	72.42	0.0
1451642400	32.17	72.67	0.0
1451642400	31.92	72.17	0.0
1451642400	31.92	72.42	0.0
1451642400	31.92	72.67	0.0
1451646000	32.42	72.17	0.014250517
1451646000	32.42	72.42	0.0
1451646000	32.42	72.67	0.0
1451646000	32.17	72.17	0.014289856
1451646000	32.17	72.42	4.529953E-6
1451646000	32.17	72.67	0.0020325184
1451646000	31.92	72.17	0.0
1451646000	31.92	72.42	0.0035431385
1451646000	31.92	72.67	0.0058395863
1451649600	32.42	72.17	0.007061124
1451649600	32.42	72.42	7.0369244E-4
1451649600	32.42	72.67	0.0
1451649600	32.17	72.17	0.0077683926
1451649600	32.17	72.42	0.0013939142
1451649600	32.17	72.67	0.0
1451649600	31.92	72.17	0.0076879263
1451649600	31.92	72.42	0.0013977289
1451649600	31.92	72.67	0.0
1451653200	32.42	72.17	0.009502411
1451653200	32.42	72.42	0.0
1451653200	32.42	72.67	0.0
1451653200	32.17	72.17	0.032474518
1451653200	32.17	72.42	0.022888184
1451653200	32.17	72.67	0.0
1451653200	31.92	72.17	0.22343445
1451653200	31.92	72.42	0.09256363
1451653200	31.92	72.67	0.068927765
1451656800	32.42	72.17	0.0
1451656800	32.42	72.42	0.0
1451656800	32.42	72.67	0.0
1451656800	32.17	72.17	0.03721237
1451656800	32.17	72.42	0.03712845
1451656800	32.17	72.67	0.0
1451656800	31.92	72.17	0.23693848
1451656800	31.92	72.42	0.15509033
1451656800	31.92	72.67	0.11298752
1451660400	32.42	72.17	0.0
1451660400	32.42	72.42	0.0
1451660400	32.42	72.67	0.0
1451660400	32.17	72.17	0.0
1451660400	32.17	72.42	0.0
1451660400	32.17	72.67	0.0
1451660400	31.92	72.17	0.01844883
1451660400	31.92	72.42	0.031573296
1451660400	31.92	72.67	0.03153515
1451664000	32.42	72.17	0.0
1451664000	32.42	72.42	0.0
1451664000	32.42	72.67	0.0
1451664000	32.17	72.17	0.0
1451664000	32.17	72.42	0.0
1451664000	32.17	72.67	0.0
1451664000	31.92	72.17	0.008348227
1451664000	31.92	72.42	0.0013973713
1451664000	31.92	72.67	0.001393795
1451667600	32.42	72.17	0.013389723
1451667600	32.42	72.42	0.0089560915
1451667600	32.42	72.67	0.0027877258
1451667600	32.17	72.17	0.021457808
1451667600	32.17	72.42	0.017005103
1451667600	32.17	72.67	0.0027953552
1451667600	31.92	72.17	0.043197766
1451667600	31.92	72.42	0.027040618
1451667600	31.92	72.67	0.011993544
1451671200	32.42	72.17	0.008630753
1451671200	32.42	72.42	0.022324562
1451671200	32.42	72.67	0.039779663
1451671200	32.17	72.17	2.632141E-4
1451671200	32.17	72.42	0.0128622055
1451671200	32.17	72.67	0.02068901
1451671200	31.92	72.17	0.0
1451671200	31.92	72.42	0.0
1451671200	31.92	72.67	0.007323265
1451674800	32.42	72.17	0.0
1451674800	32.42	72.42	0.0
1451674800	32.42	72.67	0.0019708276
1451674800	32.17	72.17	0.0
1451674800	32.17	72.42	0.0
1451674800	32.17	72.67	0.0
1451674800	31.92	72.17	0.0
1451674800	31.92	72.42	0.0
1451674800	31.92	72.67	0.0
1451678400	32.42	72.17	0.0
1451678400	32.42	72.42	0.0
1451678400	32.42	72.67	0.0
1451678400	32.17	72.17	0.0
1451678400	32.17	72.42	0.0
1451678400	32.17	72.67	0.0
1451678400	31.92	72.17	0.0
1451678400	31.92	72.42	0.0
1451678400	31.92	72.67	0.0
1451682000	32.42	72.17	0.0
1451682000	32.42	72.42	0.0
1451682000	32.42	72.67	0.0
1451682000	32.17	72.17	0.0
1451682000	32.17	72.42	0.0
1451682000	32.17	72.67	0.0
1451682000	31.92	72.17	0.0
1451682000	31.92	72.42	0.0
1451682000	31.92	72.67	0.0
1451685600	32.42	72.17	0.0
1451685600	32.42	72.42	0.0
1451685600	32.42	72.67	0.0
1451685600	32.17	72.17	0.0
1451685600	32.17	72.42	0.0
1451685600	32.17	72.67	0.0
1451685600	31.92	72.17	0.0
1451685600	31.92	72.42	0.0
1451685600	31.92	72.67	0.0
1451689200	32.42	72.17	0.07818651
1451689200	32.42	72.42	0.016968254
1451689200	32.42	72.67	0.0055851974
1451689200	32.17	72.17	0.14173174
1451689200	32.17	72.42	0.07583666
1451689200	32.17	72.67	0.005600456
1451689200	31.92	72.17	0.31682634
1451689200	31.92	72.42	0.1335454
1451689200	31.92	72.67	0.05860949
1451692800	32.42	72.17	0.5473355
1451692800	32.42	72.42	0.45432556
1451692800	32.42	72.67	0.36704528
1451692800	32.17	72.17	0.637843
1451692800	32.17	72.42	0.5479382
1451692800	32.17	72.67	0.45990264
1451692800	31.92	72.17	0.6982297
1451692800	31.92	72.42	0.66125
1451692800	31.92	72.67	0.57298553
1451696400	32.42	72.17	0.71517116
1451696400	32.42	72.42	0.7408822
1451696400	32.42	72.67	0.71734935
1451696400	32.17	72.17	0.7914956
1451696400	32.17	72.42	0.8217042
1451696400	32.17	72.67	0.79835445
1451696400	31.92	72.17	0.77343684
1451696400	31.92	72.42	0.79249316
1451696400	31.92	72.67	0.76889545
1451700000	32.42	72.17	0.40288198
1451700000	32.42	72.42	0.4596218
1451700000	32.42	72.67	0.48047292
1451700000	32.17	72.17	0.49715078
1451700000	32.17	72.42	0.56062734
1451700000	32.17	72.67	0.59473836
1451700000	31.92	72.17	0.5975994
1451700000	31.92	72.42	0.60332525
1451700000	31.92	72.67	0.63698614
1451703600	32.42	72.17	0.8438966
1451703600	32.42	72.42	0.6292894
1451703600	32.42	72.67	0.39214492
1451703600	32.17	72.17	0.83478713
1451703600	32.17	72.42	0.626436
1451703600	32.17	72.67	0.48409438
1451703600	31.92	72.17	0.8017061
1451703600	31.92	72.42	0.67989516
1451703600	31.92	72.67	0.5427263
1451707200	32.42	72.17	0.98674077
1451707200	32.42	72.42	0.99243087
1451707200	32.42	72.67	0.99506253
1451707200	32.17	72.17	0.996515
1451707200	32.17	72.42	1.0000002
1451707200	32.17	72.67	1.0000002
1451707200	31.92	72.17	0.9932725
1451707200	31.92	72.42	0.9793417
1451707200	31.92	72.67	0.97934836
1451710800	32.42	72.17	1.0
1451710800	32.42	72.42	0.99716043
1451710800	32.42	72.67	0.9933704
1451710800	32.17	72.17	1.0
1451710800	32.17	72.42	0.9982574
1451710800	32.17	72.67	0.9982574
1451710800	31.92	72.17	0.9949813
1451710800	31.92	72.42	0.9966482
